VBZ ==> 'cites' [0.00141176470588]
VBD ==> 'spurned' [3.28623069339E-4]
NNS ==> 'hearings' [3.30742516951E-4]
NNP ==> 'ACCOUNT' [1.06269925611E-4]
JJ ==> '36-day' [1.71408981831E-4]
NN ==> 'tissue' [1.51906425642E-4]
JJ ==> 'unpublished' [3.42817963661E-4]
JJ ==> 'elusive' [1.71408981831E-4]
NNS ==> 'Lids' [1.65371258475E-4]
JJ ==> 'unsecured' [5.14226945492E-4]
NNP ==> 'Palestine' [1.06269925611E-4]
JJ ==> 'respectable' [1.71408981831E-4]
NNP ==> 'Southern' [6.37619553666E-4]
JJ ==> 'Per-share' [1.71408981831E-4]
NN ==> 'flux' [7.59532128209E-5]
VBP ==> 'deal' [7.57002271007E-4]
NN ==> 'psychology' [2.27859638463E-4]
NNPS ==> 'Plains' [0.00409836065574]
JJ ==> 'afraid' [5.14226945492E-4]
RB ==> 'shortly' [0.00141743444366]
CD ==> '14.54' [2.82007896221E-4]
JJ ==> 'certain' [0.0044566335276]
VBD ==> 'introduced' [0.00230036148538]
NNP ==> 'Glauber' [1.06269925611E-4]
NNP ==> 'Seymour' [5.31349628055E-4]
IN ==> 'off' [0.00121740894796]
NN ==> 'batting' [7.59532128209E-5]
VBD ==> 'put' [9.85869208018E-4]
NNS ==> 'capital-gains' [1.65371258475E-4]
JJ ==> 'Nasty' [1.71408981831E-4]
NNS ==> 'foreigners' [1.65371258475E-4]
NNP ==> 'Manila' [1.06269925611E-4]
JJ ==> 'desirable' [3.42817963661E-4]
JJ ==> 'austere' [1.71408981831E-4]
NNS ==> 'points' [0.00496113775426]
NNP ==> 'Czechoslovakia' [5.31349628055E-4]
VBD ==> 'accepted' [6.57246138679E-4]
VB ==> 'unwind' [3.91542678152E-4]
NNP ==> 'Washington' [0.00244420828905]
RB ==> 'fairly' [0.00177179305457]
NNP ==> 'Confederation' [2.12539851222E-4]
NN ==> 'cash' [0.0032659881513]
VBN ==> 'expelled' [9.37207122774E-4]
JJ ==> 'Strategic' [1.71408981831E-4]
JJ ==> '51-year-old' [1.71408981831E-4]
VB ==> 'wait' [0.00156617071261]
VBG ==> 'hitting' [0.0013698630137]
RB ==> 'implicitly' [3.54358610914E-4]
NNP ==> 'Economy' [1.06269925611E-4]
NNP ==> 'March' [0.001912858661]
VBG ==> 'finding' [0.0013698630137]
CD ==> '618.1' [2.82007896221E-4]
NN ==> 'file' [7.59532128209E-5]
NN ==> 'mine' [7.59532128209E-5]
NNS ==> 'Hours' [1.65371258475E-4]
VB ==> 'lift' [0.00156617071261]
VBD ==> 'varied' [3.28623069339E-4]
NNP ==> 'Crash' [1.06269925611E-4]
NN ==> 'accountant' [7.59532128209E-5]
JJ ==> 'dead' [3.42817963661E-4]
RB ==> 'definitely' [3.54358610914E-4]
CD ==> '7,500' [5.64015792442E-4]
NNP ==> 'Danville' [2.12539851222E-4]
VBN ==> 'classified' [4.68603561387E-4]
VBN ==> 'faced' [9.37207122774E-4]
NN ==> 'stock' [0.0103296369436]
JJ ==> 'Egyptian' [1.71408981831E-4]
NNPS ==> 'Republicans' [0.00409836065574]
VBN ==> 'bought' [9.37207122774E-4]
CD ==> '1.14' [2.82007896221E-4]
NNS ==> 'thousands' [6.61485033901E-4]
NNP ==> 'Saints' [1.06269925611E-4]
NN ==> 'subscriber' [7.59532128209E-5]
NN ==> 'hair' [7.59532128209E-5]
PDT ==> 'All' [0.037037037037]
NNP ==> 'Paso' [1.06269925611E-4]
NN ==> 'parent' [9.11438553851E-4]
CD ==> '63' [0.00141003948111]
VBG ==> 'fuming' [6.84931506849E-4]
PRP$ ==> 'His' [0.0065274151436]
NN ==> 'overcrowding' [7.59532128209E-5]
NNP ==> 'Meridian' [7.43889479277E-4]
NNP ==> 'Northy' [1.06269925611E-4]
NN ==> 'value' [0.0018228771077]
NN ==> 'announcement' [7.59532128209E-4]
VB ==> 'sit' [3.91542678152E-4]
NNP ==> 'Equal' [1.06269925611E-4]
NNP ==> 'Poland' [0.00106269925611]
JJ ==> 'harmful' [1.71408981831E-4]
VBN ==> 'condemned' [4.68603561387E-4]
VBD ==> 'distinguished' [3.28623069339E-4]
NNS ==> 'cornerstones' [1.65371258475E-4]
VBD ==> 'held' [9.85869208018E-4]
NNP ==> 'Allergan' [2.12539851222E-4]
NNP ==> 'Clara' [1.06269925611E-4]
